,Model,Window,Neutral,Train Score,Test Score,Params
0,Random Forest,3,1,0.6442021000900919,0.4672266139657444,"{'max_depth': 22, 'n_estimators': 57}"
4,Catboost,3,1,0.6252890112286404,0.4785902503293808,{}
0,Random Forest,3,0,0.6240860342389569,0.557806324110672,"{'max_depth': 17, 'n_estimators': 37}"
2,LightGBM,3,1,0.6123010083147061,0.44054677206851117,"{'colsample_bytree': 0.9177471992823011, 'gamma': 8.124754132128253, 'learning_rate': 0.4609537041141492, 'max_depth': 20, 'min_child_weight': 10.351212040885052, 'n_estimators': 39, 'reg_alpha': 7.056022382140065, 'subsample': 0.9569826562407527}"
1,XGBoost,4,1,0.6114433535085189,0.45909090909090905,"{'colsample_bytree': 0.7522784505911647, 'gamma': 3.8445973912211286, 'learning_rate': 0.35498209339788006, 'max_depth': 2, 'min_child_weight': 7.6939778411584445, 'n_estimators': 28, 'reg_alpha': 3.036069179643599, 'subsample': 0.968452764898857}"
0,Random Forest,4,1,0.6086734293260873,0.5198653198653199,"{'max_depth': 4, 'n_estimators': 70}"
2,LightGBM,4,1,0.5985497039535895,0.4447811447811447,"{'colsample_bytree': 0.901544147841762, 'gamma': 9.606793237885325, 'learning_rate': 0.041490659173897874, 'max_depth': 20, 'min_child_weight': 8.498696444823372, 'n_estimators': 66, 'reg_alpha': 4.405318045003344, 'subsample': 0.9365253102171895}"
1,XGBoost,3,1,0.5967344404863785,0.44466403162055335,"{'colsample_bytree': 0.8925691526780135, 'gamma': 1.4686955994429096, 'learning_rate': 0.04800996486894648, 'max_depth': 16, 'min_child_weight': 11.166387261134535, 'n_estimators': 36, 'reg_alpha': 0.3785402926311609, 'subsample': 0.8008173743486422}"
3,Logistic Regression,1,0,0.5965009138648211,0.4334709431565576,"{'C': 0.6669583646901699, 'penalty': 'l1'}"
4,Catboost,4,1,0.5920777033297391,0.5070707070707071,{}
3,Logistic Regression,5,1,0.5861940432087965,0.4820936639118457,"{'C': 7.088012356255637, 'penalty': 'l1'}"
2,LightGBM,1,0,0.5856203126200482,0.5188948872657987,"{'colsample_bytree': 0.985169739281209, 'gamma': 7.9411529846251945, 'learning_rate': 0.19732086474796445, 'max_depth': 24, 'min_child_weight': 6.642497163833003, 'n_estimators': 76, 'reg_alpha': 0.5665697079337118, 'subsample': 0.9522014228947625}"
0,Random Forest,5,1,0.5770022868452694,0.5268595041322314,"{'max_depth': 24, 'n_estimators': 23}"
0,Random Forest,2,1,0.571802048789924,0.4581440622972096,"{'max_depth': 3, 'n_estimators': 16}"
