,Model,Window,Neutral,Train Score,Test Score,Params
2,LightGBM,2,1,0.5973402505910174,0.44094743672939646,"{'colsample_bytree': 0.8719584647440835, 'gamma': 8.691992841401364, 'learning_rate': 0.08424182221663505, 'max_depth': 23, 'min_child_weight': 4.370425544889302, 'n_estimators': 97, 'reg_alpha': 8.711227205114612, 'subsample': 0.9772611466168699}"
0,Random Forest,1,0,0.5942992488558132,0.36789456970466816,"{'max_depth': 2, 'n_estimators': 97}"
2,LightGBM,3,1,0.5941306773484569,0.44861660079051385,"{'colsample_bytree': 0.9926655910010295, 'gamma': 0.9577082180196517, 'learning_rate': 0.14491142787845956, 'max_depth': 2, 'min_child_weight': 8.239590874512295, 'n_estimators': 14, 'reg_alpha': 5.482667904352924, 'subsample': 0.9703217198886533}"
0,Random Forest,2,1,0.5896669067911742,0.45019467878001296,"{'max_depth': 23, 'n_estimators': 28}"
0,Random Forest,3,1,0.589198642307173,0.44186429512516473,"{'max_depth': 3, 'n_estimators': 66}"
1,XGBoost,3,1,0.587691484200334,0.45882740447957837,"{'colsample_bytree': 0.9815501305656954, 'gamma': 0.053407634012030414, 'learning_rate': 0.10452850922594074, 'max_depth': 12, 'min_child_weight': 9.20888672510881, 'n_estimators': 35, 'reg_alpha': 9.612664396260259, 'subsample': 0.9401579505211932}"
2,LightGBM,4,1,0.5841342281202008,0.4436026936026936,"{'colsample_bytree': 0.9372578351560642, 'gamma': 7.079538184244899, 'learning_rate': 0.0800997770915091, 'max_depth': 22, 'min_child_weight': 14.742109879080788, 'n_estimators': 43, 'reg_alpha': 4.519453210321728, 'subsample': 0.975363441915842}"
4,Catboost,2,1,0.578966492842975,0.4523036988968202,{}
0,Random Forest,2,0,0.5785441379409121,0.4112589227774173,"{'max_depth': 4, 'n_estimators': 91}"
1,XGBoost,4,1,0.5783144741666297,0.4624579124579124,"{'colsample_bytree': 0.8942646625270874, 'gamma': 0.2322263420598747, 'learning_rate': 0.33414943746077425, 'max_depth': 8, 'min_child_weight': 8.047092822894289, 'n_estimators': 48, 'reg_alpha': 6.692956528532755, 'subsample': 0.5802009307111863}"
2,LightGBM,5,0,0.5729373387632944,0.48484848484848486,"{'colsample_bytree': 0.8404124221433745, 'gamma': 4.067776078593247, 'learning_rate': 0.24205689273596193, 'max_depth': 4, 'min_child_weight': 9.601178629555488, 'n_estimators': 79, 'reg_alpha': 0.8581493866217504, 'subsample': 0.888780958820761}"
2,LightGBM,5,1,0.5726092504114813,0.4850206611570248,"{'colsample_bytree': 0.9721105797174648, 'gamma': 2.860786597628616, 'learning_rate': 0.29791085463142575, 'max_depth': 13, 'min_child_weight': 10.440854122273912, 'n_estimators': 49, 'reg_alpha': 1.0483864086334194, 'subsample': 0.9257646220438772}"
2,LightGBM,3,0,0.5722393588500002,0.5204216073781291,"{'colsample_bytree': 0.7276792303031405, 'gamma': 2.3342039055448183, 'learning_rate': 0.47219478283051186, 'max_depth': 24, 'min_child_weight': 18.218420878158756, 'n_estimators': 88, 'reg_alpha': 0.6703237457142652, 'subsample': 0.9665074236547648}"
2,LightGBM,1,0,0.5685018054273427,0.3607494442680216,"{'colsample_bytree': 0.9396847880216082, 'gamma': 4.606757559541901, 'learning_rate': 0.32011669847468927, 'max_depth': 6, 'min_child_weight': 6.850213982525869, 'n_estimators': 85, 'reg_alpha': 1.8788839606440533, 'subsample': 0.8836618532613716}"
0,Random Forest,3,0,0.5681323836327196,0.4356060606060606,"{'max_depth': 6, 'n_estimators': 61}"
4,Catboost,2,0,0.5622603052172401,0.45944192083062946,{}
2,LightGBM,2,0,0.5611397024617096,0.4506813757300454,"{'colsample_bytree': 0.9914125155871237, 'gamma': 6.692893853975103, 'learning_rate': 0.07345509722043723, 'max_depth': 24, 'min_child_weight': 17.57696872970139, 'n_estimators': 71, 'reg_alpha': 3.0284727920244756, 'subsample': 0.9126328894647618}"
1,XGBoost,3,0,0.5598963321560266,0.5148221343873518,"{'colsample_bytree': 0.9646460475823262, 'gamma': 0.1533849612201177, 'learning_rate': 0.2810118331170431, 'max_depth': 6, 'min_child_weight': 15.665536893669476, 'n_estimators': 67, 'reg_alpha': 3.9582362457834837, 'subsample': 0.9476903872884579}"
0,Random Forest,4,1,0.559122163181853,0.4035353535353535,"{'max_depth': 2, 'n_estimators': 98}"
1,XGBoost,1,0,0.5574218888739687,0.4258494760241347,"{'colsample_bytree': 0.8601531561072582, 'gamma': 0.6291115213987819, 'learning_rate': 0.44502173101934367, 'max_depth': 21, 'min_child_weight': 16.56396837204493, 'n_estimators': 58, 'reg_alpha': 0.9086533775456007, 'subsample': 0.8359203807118885}"
1,XGBoost,5,1,0.5566165382687698,0.4994834710743802,"{'colsample_bytree': 0.9593628897144892, 'gamma': 4.2082076613022, 'learning_rate': 0.5048776631843467, 'max_depth': 9, 'min_child_weight': 5.9588430948701205, 'n_estimators': 42, 'reg_alpha': 0.06269551382962586, 'subsample': 0.9020075664317978}"
3,Logistic Regression,2,1,0.5512456096110896,0.41563919532770927,"{'C': 0.14520946311960872, 'penalty': 'l1'}"
3,Logistic Regression,2,0,0.550426470881569,0.40785204412719006,"{'C': 0.5388430921277053, 'penalty': 'l1'}"
1,XGBoost,4,0,0.5501414385853155,0.4875420875420875,"{'colsample_bytree': 0.8413936405893732, 'gamma': 0.36731112976761016, 'learning_rate': 0.4950525191518995, 'max_depth': 3, 'min_child_weight': 17.689002504691054, 'n_estimators': 35, 'reg_alpha': 3.440162668161328, 'subsample': 0.9560330997584686}"
3,Logistic Regression,4,0,0.5495120466898653,0.4547138047138047,"{'C': 0.1375210450802499, 'penalty': 'l1'}"
1,XGBoost,5,0,0.5492861955670432,0.4970730027548209,"{'colsample_bytree': 0.9495906018419821, 'gamma': 3.458927364477138, 'learning_rate': 0.2925157350249905, 'max_depth': 10, 'min_child_weight': 8.736314889123324, 'n_estimators': 68, 'reg_alpha': 0.2851704192312043, 'subsample': 0.890830501184898}"
4,Catboost,3,1,0.5469766775736455,0.4782608695652174,{}
2,LightGBM,4,0,0.5450244114282107,0.49629629629629624,"{'colsample_bytree': 0.7382412106765274, 'gamma': 5.9667272826999085, 'learning_rate': 0.3963152735772614, 'max_depth': 21, 'min_child_weight': 6.629106499006468, 'n_estimators': 59, 'reg_alpha': 6.050931257590352, 'subsample': 0.928964547312378}"
0,Random Forest,4,0,0.5445665083609523,0.40235690235690236,"{'max_depth': 5, 'n_estimators': 82}"
