,date,exc_ret
1,2017-11-28,True
2,2017-11-29,False
3,2017-11-30,False
4,2017-12-01,True
5,2017-12-02,False
6,2017-12-03,False
7,2017-12-04,False
8,2017-12-05,True
9,2017-12-06,True
10,2017-12-07,False
11,2017-12-08,True
12,2017-12-09,True
13,2017-12-10,False
14,2017-12-11,False
15,2017-12-12,False
16,2017-12-13,True
17,2017-12-14,True
18,2017-12-15,False
19,2017-12-16,False
20,2017-12-17,True
21,2017-12-18,False
22,2017-12-19,False
23,2017-12-20,True
24,2017-12-21,False
25,2017-12-22,True
26,2017-12-23,True
27,2017-12-24,True
28,2017-12-25,False
29,2017-12-26,False
30,2017-12-27,False
31,2017-12-28,True
32,2017-12-29,True
33,2017-12-30,True
34,2017-12-31,True
35,2018-01-01,True
36,2018-01-02,True
37,2018-01-03,True
38,2018-01-04,True
39,2018-01-05,True
40,2018-01-06,True
41,2018-01-07,True
42,2018-01-08,False
43,2018-01-09,False
44,2018-01-10,True
45,2018-01-11,True
46,2018-01-12,True
47,2018-01-13,True
48,2018-01-14,True
49,2018-01-15,True
50,2018-01-16,False
51,2018-01-17,False
52,2018-01-18,True
53,2018-01-19,False
54,2018-01-20,False
55,2018-01-21,False
56,2018-01-22,True
57,2018-01-23,True
58,2018-01-24,True
59,2018-01-25,True
60,2018-01-26,True
61,2018-01-27,True
62,2018-01-28,True
63,2018-01-29,True
64,2018-01-30,False
65,2018-01-31,False
66,2018-02-01,False
67,2018-02-02,True
68,2018-02-03,True
69,2018-02-04,False
70,2018-02-05,False
71,2018-02-06,True
72,2018-02-07,True
73,2018-02-08,False
74,2018-02-09,False
75,2018-02-10,False
76,2018-02-11,True
77,2018-02-12,True
78,2018-02-13,False
79,2018-02-14,True
80,2018-02-15,True
81,2018-02-16,False
82,2018-02-17,False
83,2018-02-18,False
84,2018-02-19,True
85,2018-02-20,True
86,2018-02-21,True
87,2018-02-22,False
88,2018-02-23,True
89,2018-02-24,True
90,2018-02-25,True
91,2018-02-26,True
92,2018-02-27,True
93,2018-02-28,True
94,2018-03-01,True
95,2018-03-02,True
96,2018-03-03,True
97,2018-03-04,True
98,2018-03-05,True
99,2018-03-06,True
100,2018-03-07,False
101,2018-03-08,False
102,2018-03-09,True
103,2018-03-10,True
104,2018-03-11,False
105,2018-03-12,False
106,2018-03-13,False
107,2018-03-14,True
108,2018-03-15,False
109,2018-03-16,False
110,2018-03-17,False
111,2018-03-18,True
112,2018-03-19,True
113,2018-03-20,True
114,2018-03-21,True
115,2018-03-22,False
116,2018-03-23,True
117,2018-03-24,True
118,2018-03-25,True
119,2018-03-26,False
120,2018-03-27,False
121,2018-03-28,False
122,2018-03-29,True
123,2018-03-30,True
124,2018-03-31,False
125,2018-04-01,False
126,2018-04-02,False
127,2018-04-03,True
128,2018-04-04,True
129,2018-04-05,True
130,2018-04-06,True
131,2018-04-07,True
132,2018-04-08,False
133,2018-04-09,False
134,2018-04-10,True
135,2018-04-11,True
136,2018-04-12,True
137,2018-04-13,True
138,2018-04-14,False
139,2018-04-15,False
140,2018-04-16,True
141,2018-04-17,True
142,2018-04-18,False
143,2018-04-19,True
144,2018-04-20,True
145,2018-04-21,False
146,2018-04-22,False
147,2018-04-23,False
148,2018-04-24,False
149,2018-04-25,False
150,2018-04-26,True
151,2018-04-27,False
152,2018-04-28,True
153,2018-04-29,True
154,2018-04-30,False
155,2018-05-01,False
156,2018-05-02,True
157,2018-05-03,False
158,2018-05-04,True
159,2018-05-05,True
160,2018-05-06,True
161,2018-05-07,True
162,2018-05-08,True
163,2018-05-09,False
164,2018-05-10,False
165,2018-05-11,False
166,2018-05-12,False
167,2018-05-13,True
168,2018-05-14,True
169,2018-05-15,True
170,2018-05-16,True
171,2018-05-17,False
172,2018-05-18,True
173,2018-05-19,True
174,2018-05-20,True
175,2018-05-21,True
176,2018-05-22,True
177,2018-05-23,True
178,2018-05-24,True
179,2018-05-25,True
180,2018-05-26,True
181,2018-05-27,False
182,2018-05-28,False
183,2018-05-29,True
184,2018-05-30,True
185,2018-05-31,False
186,2018-06-01,True
187,2018-06-02,True
188,2018-06-03,False
189,2018-06-04,True
190,2018-06-05,True
191,2018-06-06,False
192,2018-06-07,False
193,2018-06-08,False
194,2018-06-09,True
195,2018-06-10,True
196,2018-06-11,False
197,2018-06-12,True
198,2018-06-13,True
199,2018-06-14,True
200,2018-06-15,True
201,2018-06-16,False
202,2018-06-17,False
203,2018-06-18,True
204,2018-06-19,True
205,2018-06-20,True
206,2018-06-21,True
207,2018-06-22,False
208,2018-06-23,False
209,2018-06-24,False
210,2018-06-25,True
211,2018-06-26,True
212,2018-06-27,False
213,2018-06-28,True
214,2018-06-29,False
215,2018-06-30,False
216,2018-07-01,True
217,2018-07-02,True
218,2018-07-03,False
219,2018-07-04,True
220,2018-07-05,True
221,2018-07-06,True
222,2018-07-07,True
223,2018-07-08,True
224,2018-07-09,False
225,2018-07-10,False
226,2018-07-11,True
227,2018-07-12,False
228,2018-07-13,False
229,2018-07-14,False
230,2018-07-15,True
231,2018-07-16,False
232,2018-07-17,False
233,2018-07-18,False
234,2018-07-19,False
235,2018-07-20,False
236,2018-07-21,True
237,2018-07-22,True
238,2018-07-23,False
239,2018-07-24,False
240,2018-07-25,True
241,2018-07-26,True
242,2018-07-27,False
243,2018-07-28,False
244,2018-07-29,False
245,2018-07-30,False
246,2018-07-31,True
