,date,pos,neg,neu,exc_ret
0,2018-08-01,12.0,0.0,60.0,
1,2018-08-02,31.0,7.0,71.0,True
2,2018-08-03,44.0,12.0,144.0,False
3,2018-08-04,8.0,2.0,18.0,True
4,2018-08-05,9.0,4.0,27.0,True
5,2018-08-06,15.0,2.0,48.0,True
6,2018-08-07,21.0,8.0,90.0,False
7,2018-08-08,13.0,2.0,64.0,False
8,2018-08-09,31.0,6.0,134.0,True
9,2018-08-10,6.0,2.0,41.0,False
10,2018-08-11,19.0,1.0,28.0,False
11,2018-08-12,17.0,3.0,30.0,False
12,2018-08-13,31.0,5.0,116.0,False
13,2018-08-14,21.0,4.0,76.0,False
14,2018-08-15,33.0,3.0,118.0,False
15,2018-08-16,21.0,3.0,113.0,False
16,2018-08-17,18.0,2.0,93.0,False
17,2018-08-18,156.0,40.0,472.0,False
18,2018-08-19,35.0,6.0,148.0,True
19,2018-08-20,33.0,4.0,134.0,True
20,2018-08-21,19.0,3.0,106.0,True
21,2018-08-22,44.0,1.0,116.0,True
22,2018-08-23,68.0,6.0,249.0,False
23,2018-08-24,66.0,14.0,288.0,True
24,2018-08-25,14.0,0.0,76.0,True
25,2018-08-26,13.0,2.0,51.0,False
26,2018-08-27,25.0,3.0,103.0,False
27,2018-08-28,16.0,1.0,52.0,True
28,2018-08-29,11.0,4.0,52.0,False
29,2018-08-30,17.0,2.0,52.0,True
30,2018-08-31,7.0,3.0,40.0,False
31,2018-09-01,22.0,3.0,88.0,False
32,2018-09-02,10.0,2.0,46.0,True
33,2018-09-03,11.0,0.0,46.0,True
34,2018-09-04,16.0,2.0,71.0,False
35,2018-09-05,21.0,1.0,85.0,False
36,2018-09-06,26.0,4.0,134.0,True
37,2018-09-07,17.0,5.0,108.0,True
38,2018-09-08,12.0,1.0,70.0,False
39,2018-09-09,2.0,0.0,51.0,False
40,2018-09-10,12.0,1.0,80.0,True
41,2018-09-11,13.0,1.0,98.0,True
42,2018-09-12,25.0,2.0,70.0,True
43,2018-09-13,13.0,7.0,66.0,False
44,2018-09-14,4.0,3.0,66.0,False
45,2018-09-15,4.0,1.0,49.0,False
46,2018-09-16,5.0,1.0,37.0,False
47,2018-09-17,9.0,7.0,83.0,True
48,2018-09-18,35.0,2.0,136.0,True
49,2018-09-19,20.0,2.0,107.0,False
50,2018-09-20,12.0,6.0,81.0,False
