,date,pos,neg,neu,exc_ret
0,2018-08-01,20.0,16.0,36.0,
1,2018-08-02,36.0,9.0,64.0,True
2,2018-08-03,62.0,19.0,119.0,False
3,2018-08-04,11.0,2.0,15.0,True
4,2018-08-05,11.0,7.0,22.0,True
5,2018-08-06,23.0,2.0,40.0,True
6,2018-08-07,38.0,20.0,61.0,False
7,2018-08-08,33.0,8.0,38.0,False
8,2018-08-09,100.0,12.0,59.0,True
9,2018-08-10,19.0,3.0,27.0,False
10,2018-08-11,29.0,0.0,19.0,False
11,2018-08-12,25.0,5.0,20.0,False
12,2018-08-13,79.0,18.0,55.0,False
13,2018-08-14,36.0,9.0,56.0,False
14,2018-08-15,34.0,45.0,75.0,False
15,2018-08-16,50.0,17.0,70.0,False
16,2018-08-17,36.0,15.0,61.0,False
17,2018-08-18,208.0,115.0,345.0,False
18,2018-08-19,73.0,24.0,92.0,True
19,2018-08-20,58.0,18.0,95.0,True
20,2018-08-21,43.0,16.0,69.0,True
21,2018-08-22,63.0,16.0,82.0,True
22,2018-08-23,113.0,36.0,174.0,False
23,2018-08-24,155.0,35.0,178.0,True
24,2018-08-25,32.0,8.0,50.0,True
25,2018-08-26,18.0,7.0,41.0,False
26,2018-08-27,36.0,12.0,83.0,False
27,2018-08-28,25.0,8.0,36.0,True
28,2018-08-29,33.0,5.0,29.0,False
29,2018-08-30,25.0,4.0,42.0,True
30,2018-08-31,17.0,5.0,28.0,False
31,2018-09-01,39.0,18.0,56.0,False
32,2018-09-02,17.0,5.0,36.0,True
33,2018-09-03,23.0,5.0,29.0,True
34,2018-09-04,36.0,12.0,41.0,False
35,2018-09-05,31.0,12.0,63.0,False
36,2018-09-06,62.0,10.0,92.0,True
37,2018-09-07,39.0,11.0,80.0,True
38,2018-09-08,34.0,5.0,44.0,False
39,2018-09-09,12.0,5.0,36.0,False
40,2018-09-10,15.0,10.0,68.0,True
41,2018-09-11,42.0,12.0,58.0,True
42,2018-09-12,45.0,5.0,47.0,True
43,2018-09-13,31.0,8.0,47.0,False
44,2018-09-14,21.0,12.0,40.0,False
45,2018-09-15,15.0,3.0,36.0,False
46,2018-09-16,11.0,3.0,29.0,False
47,2018-09-17,33.0,14.0,52.0,True
48,2018-09-18,54.0,5.0,114.0,True
49,2018-09-19,48.0,8.0,73.0,False
50,2018-09-20,42.0,8.0,49.0,False
51,2018-09-21,29.0,18.0,77.0,False
52,2018-09-22,29.0,8.0,21.0,True
53,2018-09-23,33.0,10.0,32.0,True
54,2018-09-24,26.0,9.0,87.0,True
55,2018-09-25,16.0,9.0,57.0,False
56,2018-09-26,58.0,17.0,103.0,True
57,2018-09-27,21.0,2.0,27.0,False
58,2018-09-28,27.0,5.0,38.0,False
59,2018-09-29,12.0,1.0,20.0,False
60,2018-09-30,3.0,1.0,15.0,True
61,2018-10-01,52.0,4.0,68.0,True
62,2018-10-02,24.0,21.0,36.0,False
63,2018-10-03,19.0,2.0,30.0,False
64,2018-10-04,24.0,9.0,30.0,False
65,2018-10-05,20.0,12.0,45.0,False
66,2018-10-06,30.0,10.0,69.0,False
67,2018-10-07,13.0,1.0,26.0,False
68,2018-10-08,31.0,9.0,109.0,True
69,2018-10-09,30.0,8.0,35.0,True
70,2018-10-10,170.0,57.0,283.0,False
71,2018-10-11,195.0,57.0,336.0,False
72,2018-10-12,58.0,21.0,135.0,True
73,2018-10-13,40.0,6.0,46.0,True
74,2018-10-14,22.0,2.0,53.0,False
75,2018-10-15,25.0,42.0,106.0,False
76,2018-10-16,320.0,105.0,567.0,True
77,2018-10-17,252.0,87.0,407.0,True
78,2018-10-18,88.0,22.0,146.0,False
79,2018-10-19,77.0,21.0,131.0,False
