,date,pos,neg,neu,exc_ret
0,2017-11-23,5.0,1.0,38.0,
1,2017-11-24,6.0,0.0,33.0,
2,2017-11-25,3.0,2.0,25.0,
3,2017-11-26,7.0,2.0,24.0,
4,2017-11-27,7.0,2.0,93.0,
5,2017-11-28,8.0,1.0,69.0,True
6,2017-11-29,5.0,0.0,68.0,False
7,2017-11-30,13.0,0.0,56.0,False
8,2017-12-01,17.0,3.0,44.0,True
9,2017-12-02,7.0,0.0,31.0,False
10,2017-12-03,8.0,2.0,21.0,False
11,2017-12-04,14.0,1.0,128.0,False
12,2017-12-05,11.0,0.0,47.0,True
13,2017-12-06,6.0,0.0,62.0,True
14,2017-12-07,5.0,1.0,65.0,False
15,2017-12-08,10.0,0.0,33.0,True
16,2017-12-09,9.0,1.0,40.0,True
17,2017-12-10,23.0,4.0,69.0,False
18,2017-12-11,9.0,6.0,33.0,False
19,2017-12-12,22.0,2.0,54.0,False
20,2017-12-13,17.0,0.0,36.0,True
21,2017-12-14,19.0,5.0,141.0,True
22,2017-12-15,18.0,6.0,72.0,False
23,2017-12-16,7.0,0.0,25.0,False
24,2017-12-17,7.0,0.0,33.0,True
25,2017-12-18,8.0,1.0,34.0,False
26,2017-12-19,10.0,4.0,31.0,False
27,2017-12-20,10.0,2.0,30.0,True
28,2017-12-21,18.0,2.0,35.0,False
29,2017-12-22,15.0,0.0,33.0,True
30,2017-12-23,8.0,4.0,23.0,True
31,2017-12-24,8.0,1.0,17.0,True
32,2017-12-25,8.0,1.0,12.0,False
33,2017-12-26,8.0,2.0,29.0,False
34,2017-12-27,12.0,0.0,23.0,False
35,2017-12-28,21.0,5.0,48.0,True
36,2017-12-29,28.0,1.0,57.0,True
37,2017-12-30,9.0,1.0,26.0,True
38,2017-12-31,11.0,0.0,17.0,True
39,2018-01-01,21.0,0.0,146.0,True
40,2018-01-02,115.0,28.0,392.0,True
41,2018-01-03,54.0,21.0,220.0,True
42,2018-01-04,27.0,4.0,56.0,True
43,2018-01-05,18.0,3.0,58.0,True
44,2018-01-06,12.0,1.0,32.0,True
45,2018-01-07,10.0,0.0,33.0,True
46,2018-01-08,12.0,3.0,30.0,False
47,2018-01-09,15.0,3.0,39.0,False
48,2018-01-10,12.0,4.0,120.0,True
49,2018-01-11,32.0,1.0,91.0,True
50,2018-01-12,20.0,5.0,58.0,True
51,2018-01-13,6.0,2.0,23.0,True
52,2018-01-14,8.0,1.0,30.0,True
53,2018-01-15,10.0,0.0,42.0,True
54,2018-01-16,13.0,2.0,118.0,False
55,2018-01-17,37.0,3.0,63.0,False
56,2018-01-18,32.0,54.0,166.0,True
57,2018-01-19,23.0,7.0,145.0,False
58,2018-01-20,10.0,6.0,53.0,False
59,2018-01-21,11.0,0.0,53.0,False
60,2018-01-22,133.0,22.0,615.0,True
61,2018-01-23,272.0,31.0,639.0,True
62,2018-01-24,107.0,19.0,369.0,True
63,2018-01-25,46.0,10.0,244.0,True
64,2018-01-26,34.0,7.0,192.0,True
65,2018-01-27,24.0,3.0,111.0,True
66,2018-01-28,26.0,5.0,74.0,True
67,2018-01-29,21.0,5.0,118.0,True
68,2018-01-30,26.0,1.0,68.0,False
69,2018-01-31,22.0,1.0,89.0,False
70,2018-02-01,12.0,5.0,87.0,False
71,2018-02-02,41.0,7.0,93.0,True
72,2018-02-03,27.0,3.0,85.0,True
73,2018-02-04,11.0,2.0,32.0,False
74,2018-02-05,19.0,2.0,51.0,False
75,2018-02-06,46.0,10.0,116.0,True
76,2018-02-07,13.0,2.0,45.0,True
77,2018-02-08,20.0,3.0,89.0,False
78,2018-02-09,12.0,0.0,53.0,False
79,2018-02-10,12.0,0.0,30.0,False
80,2018-02-11,15.0,2.0,25.0,True
81,2018-02-12,13.0,6.0,60.0,True
82,2018-02-13,14.0,5.0,60.0,False
83,2018-02-14,25.0,2.0,89.0,True
84,2018-02-15,24.0,51.0,107.0,True
85,2018-02-16,16.0,15.0,64.0,False
86,2018-02-17,50.0,8.0,168.0,False
87,2018-02-18,13.0,0.0,23.0,False
88,2018-02-19,13.0,0.0,42.0,True
89,2018-02-20,16.0,3.0,43.0,True
90,2018-02-21,40.0,5.0,175.0,True
91,2018-02-22,22.0,8.0,65.0,False
92,2018-02-23,17.0,1.0,50.0,True
93,2018-02-24,8.0,2.0,42.0,True
94,2018-02-25,11.0,3.0,35.0,True
95,2018-02-26,43.0,2.0,79.0,True
96,2018-02-27,32.0,4.0,175.0,True
97,2018-02-28,32.0,2.0,105.0,True
98,2018-03-01,43.0,2.0,54.0,True
99,2018-03-02,64.0,2.0,83.0,True
100,2018-03-03,95.0,12.0,197.0,True
101,2018-03-04,19.0,0.0,61.0,True
102,2018-03-05,44.0,11.0,177.0,True
103,2018-03-06,69.0,11.0,171.0,True
104,2018-03-07,94.0,15.0,333.0,False
105,2018-03-08,65.0,14.0,294.0,False
106,2018-03-09,81.0,12.0,289.0,True
107,2018-03-10,16.0,4.0,64.0,True
108,2018-03-11,20.0,2.0,66.0,False
109,2018-03-12,52.0,11.0,245.0,False
110,2018-03-13,57.0,16.0,213.0,False
111,2018-03-14,20.0,7.0,134.0,True
112,2018-03-15,15.0,1.0,86.0,False
113,2018-03-16,16.0,4.0,103.0,False
114,2018-03-17,11.0,8.0,42.0,False
115,2018-03-18,9.0,1.0,38.0,True
116,2018-03-19,35.0,4.0,106.0,True
117,2018-03-20,12.0,3.0,61.0,True
118,2018-03-21,49.0,6.0,133.0,True
119,2018-03-22,24.0,5.0,144.0,False
120,2018-03-23,15.0,1.0,49.0,True
121,2018-03-24,15.0,7.0,56.0,True
122,2018-03-25,10.0,3.0,57.0,True
123,2018-03-26,30.0,6.0,97.0,False
124,2018-03-27,30.0,3.0,147.0,False
125,2018-03-28,27.0,7.0,192.0,False
126,2018-03-29,43.0,12.0,202.0,True
127,2018-03-30,23.0,5.0,82.0,True
128,2018-03-31,17.0,4.0,68.0,False
129,2018-04-01,18.0,2.0,74.0,False
130,2018-04-02,30.0,8.0,122.0,False
131,2018-04-03,12.0,3.0,85.0,True
132,2018-04-04,12.0,1.0,74.0,True
133,2018-04-05,22.0,4.0,100.0,True
134,2018-04-06,33.0,1.0,80.0,True
135,2018-04-07,4.0,0.0,40.0,True
136,2018-04-08,9.0,1.0,48.0,False
137,2018-04-09,7.0,1.0,57.0,False
138,2018-04-10,21.0,2.0,129.0,True
139,2018-04-11,46.0,6.0,185.0,True
140,2018-04-12,48.0,6.0,219.0,True
141,2018-04-13,24.0,16.0,113.0,True
142,2018-04-14,28.0,7.0,58.0,False
143,2018-04-15,20.0,6.0,87.0,False
144,2018-04-16,105.0,17.0,573.0,True
145,2018-04-17,152.0,19.0,578.0,True
146,2018-04-18,54.0,5.0,250.0,False
147,2018-04-19,26.0,1.0,203.0,True
148,2018-04-20,35.0,0.0,127.0,True
149,2018-04-21,23.0,6.0,128.0,False
150,2018-04-22,11.0,4.0,47.0,False
151,2018-04-23,19.0,6.0,157.0,False
152,2018-04-24,14.0,4.0,80.0,False
153,2018-04-25,17.0,8.0,76.0,False
154,2018-04-26,14.0,2.0,55.0,True
155,2018-04-27,19.0,3.0,54.0,False
156,2018-04-28,8.0,2.0,26.0,True
157,2018-04-29,20.0,6.0,52.0,True
158,2018-04-30,14.0,5.0,54.0,False
159,2018-05-01,9.0,0.0,32.0,False
160,2018-05-02,9.0,3.0,43.0,True
161,2018-05-03,11.0,3.0,37.0,False
162,2018-05-04,10.0,2.0,37.0,True
163,2018-05-05,17.0,0.0,29.0,True
164,2018-05-06,13.0,3.0,22.0,True
165,2018-05-07,37.0,2.0,68.0,True
166,2018-05-08,42.0,2.0,62.0,True
