,Model,Window,Neutral,Train Score,Test Score,Params,Estimator
3,Catboost,4,0,0.5611560590145149,0.6025641025641026,{},<catboost.core.CatBoostClassifier object at 0x1a18b56d68>
2,LightGBM,2,0,0.5606554230083642,0.5432692307692307,"{'colsample_bytree': 0.9897391773757975, 'gamma': 2.5618131929675823, 'learning_rate': 0.3500739813681228, 'max_depth': 3, 'min_child_weight': 3.7750546325660497, 'n_estimators': 50, 'reg_alpha': 9.985328144238391, 'subsample': 0.9163026661274429}","LGBMClassifier(boosting_type='gbdt', class_weight=None,
        colsample_bytree=0.9897391773757975, gamma=2.5618131929675823,
        importance_type='split', learning_rate=0.3500739813681228,
        max_depth=3, min_child_samples=20,
        min_child_weight=3.7750546325660497, min_split_gain=0.0,
        n_estimators=50, n_jobs=-1, num_leaves=31, objective=None,
        random_state=None, reg_alpha=9.985328144238391, reg_lambda=0.0,
        silent=True, subsample=0.9163026661274429,
        subsample_for_bin=200000, subsample_freq=0)"
2,LightGBM,5,0,0.5594499434389141,0.6111111111111112,"{'colsample_bytree': 0.9205497104893088, 'gamma': 1.6889390683564542, 'learning_rate': 0.14107848788387012, 'max_depth': 19, 'min_child_weight': 8.304604490146996, 'n_estimators': 90, 'reg_alpha': 1.1121056955495179, 'subsample': 0.8958464240430275}","LGBMClassifier(boosting_type='gbdt', class_weight=None,
        colsample_bytree=0.9205497104893088, gamma=1.6889390683564542,
        importance_type='split', learning_rate=0.14107848788387012,
        max_depth=19, min_child_samples=20,
        min_child_weight=8.304604490146996, min_split_gain=0.0,
        n_estimators=90, n_jobs=-1, num_leaves=31, objective=None,
        random_state=None, reg_alpha=1.1121056955495179, reg_lambda=0.0,
        silent=True, subsample=0.8958464240430275,
        subsample_for_bin=200000, subsample_freq=0)"
2,LightGBM,4,0,0.5555171911421912,0.5897435897435898,"{'colsample_bytree': 0.9617918043619508, 'gamma': 4.402150892393446, 'learning_rate': 0.08451540635190728, 'max_depth': 10, 'min_child_weight': 6.49739679438408, 'n_estimators': 80, 'reg_alpha': 1.9569159760388433, 'subsample': 0.9777161496705093}","LGBMClassifier(boosting_type='gbdt', class_weight=None,
        colsample_bytree=0.9617918043619508, gamma=4.402150892393446,
        importance_type='split', learning_rate=0.08451540635190728,
        max_depth=10, min_child_samples=20,
        min_child_weight=6.49739679438408, min_split_gain=0.0,
        n_estimators=80, n_jobs=-1, num_leaves=31, objective=None,
        random_state=None, reg_alpha=1.9569159760388433, reg_lambda=0.0,
        silent=True, subsample=0.9777161496705093,
        subsample_for_bin=200000, subsample_freq=0)"
1,XGBoost,4,0,0.5552952439717146,0.5512820512820513,"{'colsample_bytree': 0.8844308030103815, 'gamma': 0.5588497771144141, 'learning_rate': 0.507477633382161, 'max_depth': 18, 'min_child_weight': 1.168017283870443, 'n_estimators': 44, 'reg_alpha': 2.0264520227526925, 'subsample': 0.9982156333628359}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.8844308030103815, gamma=0.5588497771144141,
       learning_rate=0.507477633382161, max_delta_step=0, max_depth=18,
       min_child_weight=1.168017283870443, missing=None, n_estimators=44,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=2.0264520227526925, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9982156333628359)"
2,LightGBM,4,1,0.5477995166598109,0.6282051282051282,"{'colsample_bytree': 0.9950783689543252, 'gamma': 8.178058830014422, 'learning_rate': 0.07129082357363141, 'max_depth': 10, 'min_child_weight': 5.5217315920376855, 'n_estimators': 92, 'reg_alpha': 2.7733584408174647, 'subsample': 0.8951227664737529}","LGBMClassifier(boosting_type='gbdt', class_weight=None,
        colsample_bytree=0.9950783689543252, gamma=8.178058830014422,
        importance_type='split', learning_rate=0.07129082357363141,
        max_depth=10, min_child_samples=20,
        min_child_weight=5.5217315920376855, min_split_gain=0.0,
        n_estimators=92, n_jobs=-1, num_leaves=31, objective=None,
        random_state=None, reg_alpha=2.7733584408174647, reg_lambda=0.0,
        silent=True, subsample=0.8951227664737529,
        subsample_for_bin=200000, subsample_freq=0)"
0,Random Forest,4,0,0.5470413563152534,0.5897435897435898,"{'max_depth': 7, 'n_estimators': 12}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=7, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=12, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
3,Catboost,4,1,0.5465284378611583,0.5769230769230769,{},<catboost.core.CatBoostClassifier object at 0x1a18b7c2e8>
0,Random Forest,4,1,0.5449906435476289,0.4871794871794871,"{'max_depth': 7, 'n_estimators': 30}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=7, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,2,0,0.5441115379718321,0.6346153846153846,"{'max_depth': 2, 'n_estimators': 86}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=2, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=86, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
