,Model,Window,Neutral,Train Score,Test Score,Params
0,Random Forest,2,1,0.5664164356589865,0.27472527472527475,"{'max_depth': 16, 'n_estimators': 74}"
0,Random Forest,4,1,0.5576322755379773,0.4727272727272727,"{'max_depth': 7, 'n_estimators': 18}"
2,LightGBM,4,1,0.5574166898728302,0.42727272727272725,"{'colsample_bytree': 0.9088676775709073, 'gamma': 7.414001957543007, 'learning_rate': 0.16820968606354786, 'max_depth': 23, 'min_child_weight': 15.673507772465655, 'n_estimators': 22, 'reg_alpha': 9.85264241993676, 'subsample': 0.8913232995911916}"
2,LightGBM,5,1,0.5555140283144847,0.5555555555555556,"{'colsample_bytree': 0.8602674036957442, 'gamma': 3.0840563581607174, 'learning_rate': 0.010839049209721499, 'max_depth': 21, 'min_child_weight': 3.066729325809611, 'n_estimators': 50, 'reg_alpha': 3.072774458863231, 'subsample': 0.8756438007444007}"
1,XGBoost,5,0,0.5517590953695763,0.525,"{'colsample_bytree': 0.5434088812859564, 'gamma': 2.58629233456382, 'learning_rate': 0.28559671512335, 'max_depth': 13, 'min_child_weight': 2.9439293465813634, 'n_estimators': 78, 'reg_alpha': 2.239140116803334, 'subsample': 0.927324524690535}"
2,LightGBM,5,0,0.5501049074018675,0.85,"{'colsample_bytree': 0.9293774240451573, 'gamma': 0.1880358219492706, 'learning_rate': 0.18314621241337253, 'max_depth': 23, 'min_child_weight': 6.5775980456296885, 'n_estimators': 87, 'reg_alpha': 0.18665565912707288, 'subsample': 0.9619360407173027}"
0,Random Forest,5,0,0.5452199404161745,0.6,"{'max_depth': 2, 'n_estimators': 73}"
1,XGBoost,4,1,0.542737631114824,0.41818181818181815,"{'colsample_bytree': 0.9163857490856366, 'gamma': 3.0752627304053815, 'learning_rate': 0.19092514431872143, 'max_depth': 17, 'min_child_weight': 6.725384390073773, 'n_estimators': 72, 'reg_alpha': 5.563245069385181, 'subsample': 0.8335989283502176}"
2,LightGBM,3,0,0.5413864429105658,0.5227272727272727,"{'colsample_bytree': 0.9688965699713962, 'gamma': 5.308573888138706, 'learning_rate': 0.2192988087711616, 'max_depth': 22, 'min_child_weight': 8.269454677556734, 'n_estimators': 14, 'reg_alpha': 2.2856612926778195, 'subsample': 0.9864655582749143}"
1,XGBoost,5,1,0.5394806202361984,0.4,"{'colsample_bytree': 0.8951260772092376, 'gamma': 0.32632592938970806, 'learning_rate': 0.10889586913300252, 'max_depth': 18, 'min_child_weight': 4.122960111381978, 'n_estimators': 61, 'reg_alpha': 6.145568338465288, 'subsample': 0.8995893404802122}"
0,Random Forest,1,0,0.5365929740090717,0.41346153846153844,"{'max_depth': 23, 'n_estimators': 32}"
2,LightGBM,2,1,0.5345509935009622,0.3681318681318681,"{'colsample_bytree': 0.9828282602034664, 'gamma': 2.563141522946638, 'learning_rate': 0.44985119417997493, 'max_depth': 22, 'min_child_weight': 3.5905279318137286, 'n_estimators': 38, 'reg_alpha': 3.942463605600297, 'subsample': 0.9839323997588941}"
0,Random Forest,5,1,0.5329195064007436,0.5111111111111111,"{'max_depth': 6, 'n_estimators': 61}"
0,Random Forest,3,1,0.5318558981812376,0.4166666666666667,"{'max_depth': 17, 'n_estimators': 40}"
3,Catboost,2,1,0.5310326705353589,0.31868131868131866,{}
0,Random Forest,4,0,0.5305632518259292,0.55,"{'max_depth': 23, 'n_estimators': 17}"
1,XGBoost,2,1,0.5298465792347795,0.46703296703296704,"{'colsample_bytree': 0.8722839237661557, 'gamma': 1.397366842080905, 'learning_rate': 0.16835916334233952, 'max_depth': 10, 'min_child_weight': 1.2899253756381248, 'n_estimators': 90, 'reg_alpha': 4.455222699701019, 'subsample': 0.9716714605023323}"
2,LightGBM,4,0,0.5286706349206348,0.37,"{'colsample_bytree': 0.9294587075144213, 'gamma': 7.7082956396499425, 'learning_rate': 0.2565597000216703, 'max_depth': 22, 'min_child_weight': 13.161731863924011, 'n_estimators': 30, 'reg_alpha': 7.38029303191811, 'subsample': 0.7988769926116986}"
3,Catboost,5,1,0.5286606449106449,0.5333333333333333,{}
2,LightGBM,1,0,0.5276626805412851,0.5048076923076923,"{'colsample_bytree': 0.8481590085520319, 'gamma': 6.533773605848849, 'learning_rate': 0.4702316415470708, 'max_depth': 24, 'min_child_weight': 16.21868868297308, 'n_estimators': 91, 'reg_alpha': 7.76185591024988, 'subsample': 0.8294510049498199}"
1,XGBoost,3,0,0.525975547658131,0.4772727272727273,"{'colsample_bytree': 0.7583060546646642, 'gamma': 0.7452182675731811, 'learning_rate': 0.054466204111388854, 'max_depth': 4, 'min_child_weight': 8.162391530787602, 'n_estimators': 70, 'reg_alpha': 2.965661196916632, 'subsample': 0.9270082597423667}"
1,XGBoost,4,0,0.5231532356532357,0.42000000000000004,"{'colsample_bytree': 0.9054736670775324, 'gamma': 4.278062359590024, 'learning_rate': 0.2867492488044539, 'max_depth': 24, 'min_child_weight': 6.16432044568133, 'n_estimators': 15, 'reg_alpha': 0.8762858442679311, 'subsample': 0.7887872454858431}"
2,LightGBM,2,0,0.5203146486721365,0.6153846153846154,"{'colsample_bytree': 0.8791582634899605, 'gamma': 0.878515094811807, 'learning_rate': 0.29383975229715653, 'max_depth': 5, 'min_child_weight': 20.561768811908536, 'n_estimators': 72, 'reg_alpha': 1.8713092125466202, 'subsample': 0.9463584664803235}"
1,XGBoost,1,1,0.5164587207405765,0.6205357142857143,"{'colsample_bytree': 0.9933484011481947, 'gamma': 3.5804039177286318, 'learning_rate': 0.13584082019122506, 'max_depth': 5, 'min_child_weight': 2.1984896949186252, 'n_estimators': 19, 'reg_alpha': 2.3467691637382435, 'subsample': 0.9780918136394621}"
1,XGBoost,1,0,0.509117210697828,0.48557692307692313,"{'colsample_bytree': 0.8664611491042749, 'gamma': 0.8004415439292933, 'learning_rate': 0.37046396585002705, 'max_depth': 7, 'min_child_weight': 15.591493049334305, 'n_estimators': 29, 'reg_alpha': 0.5540109743106081, 'subsample': 0.8972645595870979}"
0,Random Forest,1,1,0.5090988374827572,0.4910714285714286,"{'max_depth': 8, 'n_estimators': 66}"
3,Catboost,4,1,0.5052517852517852,0.6727272727272727,{}
2,LightGBM,3,1,0.5045229432188261,0.6111111111111112,"{'colsample_bytree': 0.9852975503918242, 'gamma': 0.22200211807944514, 'learning_rate': 0.2284945098724862, 'max_depth': 20, 'min_child_weight': 16.835520407905122, 'n_estimators': 30, 'reg_alpha': 0.6508307109991007, 'subsample': 0.9571762465004765}"
1,XGBoost,2,0,0.5038204349104107,0.6153846153846154,"{'colsample_bytree': 0.9918858539821962, 'gamma': 1.5942425436907581, 'learning_rate': 0.25137940505135065, 'max_depth': 23, 'min_child_weight': 18.976545133692053, 'n_estimators': 94, 'reg_alpha': 0.0945588830398247, 'subsample': 0.9436879596139189}"
3,Catboost,1,1,0.501681626337419,0.5089285714285714,{}
