,date,text
35982,2017-11-23,Scandal creator  Why I left ABC for Netflix DIS NFLX     
35957,2017-11-23,Netflix Inc NFLX Stock Live Analysis    
35956,2017-11-23,Netflix NFLX Market Valuation Rose While Parkwood Trimmed by  Million Its Holding 
35955,2017-11-23,   Strong Price Compression from a Daily Rising Wedge   red  NFLX       
35954,2017-11-23,VMware  Analysts think these stocks can be a game changer Netflix Inc NASDAQ NFLX Retail        via TheCloudNetwork  on 
35953,2017-11-23,   Emerging Stocks Inc NASDAQ NFLX Netflix NFLX NYSE RF Regions Financial Corporation RF
35952,2017-11-23,The reason this has come to the forefront is socalled fast lanes Netflix and Google have traditionally paid for peering  content delivery which essentially embeds their content into the ISPs network ISPs want to charge for these fast lanes  GOOGNFLX dont want to pay
35951,2017-11-23,David B Wells Sells  Shares of Netflix Inc NFLX Stock   
35950,2017-11-23,Advisor Group Inc Sells  Shares of Netflix Inc NFLX   
35949,2017-11-23,Netflix Inc NFLX Shares Bought by Soma Equity Partners LP   
35948,2017-11-23,Rhumbline Advisers Acquires  Shares of Netflix Inc NFLX   
35947,2017-11-23,Oppenheimer  Co Inc Lowers Stake in Netflix Inc NFLX   
35946,2017-11-23,Netflix Inc NFLX Position Lifted by Bronfman EL Rothschild LP   
35945,2017-11-23,Highland Private Wealth Management Acquires Shares of  Netflix Inc NFLX   
35944,2017-11-23,Winslow Capital Management Boosted Netflix NFLX Holding   
35943,2017-11-23,Sigma Planning Corp Acquires  Shares of Netflix Inc NFLX   
35942,2017-11-23,Netflix Inc NFLX Shares Sold by American International Group Inc   
35941,2017-11-23,Highland Private Wealth Management Acquires Shares of  Netflix Inc NFLX   
35940,2017-11-23,Heres everything leaving Netflix in September that you need to watch right now NFLX    
35939,2017-11-23,Netflix Inc NFLX CFO Sells  in Stock   
35958,2017-11-23,Steadfast Capital Management LP Has Trimmed Its Netflix NFLX Stake   
35959,2017-11-23,Netflix NFLX Hold Rating Reconfirmed at BMO Capital   
35981,2017-11-23,Scandal creator Shonda Rhimes Why I left ABC for Netflix DIS NFLX       
35961,2017-11-23,D L Carlson Investment Group Lowered Netflix NFLX Holding   
35960,2017-11-23,Netflix Inc NFLX Given Consensus Recommendation of Buy by Analysts   
35979,2017-11-23,Are You Bullish Or Bearish On  Start  NFLX With   XBT BTC      
35978,2017-11-23,Netflix Inc NFLX CEO Reed Hastings Sells  Shares    
35977,2017-11-23,Netflix Inc NFLX CEO Reed Hastings Sells  Shares   
35976,2017-11-23,Why Netflix NFLX and Amazon AMZN Outperformed on the Day that Net Neutrality Died   
35975,2017-11-23,Prudential Financial Inc Has  Million Stake in Netflix Inc NFLX   
35974,2017-11-23,Why Netflix NFLX and Amazon AMZN Outperformed on the Day that Net Neutrality Died    
35973,2017-11-23,American Century Companies Inc Has  Million Holdings in Netflix Inc NFLX   
35972,2017-11-23,Sterling Global Strategies LLC Purchases New Position in Netflix Inc NFLX   
35980,2017-11-23,Netflix CEO Reed Hastings Sells  in NFLX   
